User,Tweet,Date
Xinqi Su 蘇昕琪,"8 HKers convicted and jailed in Shenzhen for “illegal border crossing” will be returned to HK police on Monday in 4 batches from 10am to 5pm @appledaily_hk reported per source.

All leaders of the #12HKers campaign are on remand for “subversion”. 

https://t.co/CK6Hovi9Kd",2021-03-21 00:15:39
Xinqi Su 蘇昕琪,"Final project is a 3,000 words thesis on one of the three given topics:

1, Plan for HK’s future 
2, Historical lessons on vicissitude and sustainable ruling 
3, If I were the Chief Executive https://t.co/JiZF4xBA5u",2021-03-17 08:19:49
Xinqi Su 蘇昕琪,The program includes 23 sessions including 20 lectures and 3 workshops. Ex HK leader CY Leung will give a class about “Patriots Rule HK” and Beijing advisor Wang Zhenyin “Where Is HK’s Future”. Students must be able to travel to Shenzhen for two lectures. https://t.co/CZdcGF6Wxt,2021-03-17 08:17:29
Xinqi Su 蘇昕琪,"What programme will you apply for if you have HK$5,000 for further education? 

HK's largest pro-BJ political party DAB rolled out this class on ""philosophies of governance and politics"" for interested applicants who must ""agree with the idea of patriotism and love for HK"". https://t.co/MBVHzx82u6",2021-03-17 08:15:10
Xinqi Su 蘇昕琪,"This came under a week since M+ Museum's media preview, when the director Suhanya Raffel said the museum will present artwork related to events like Tiananmen crackdown.

""Our exhibition are developed with historic academic fact and that's what we did"" 

https://t.co/0aXElNVEPX",2021-03-17 04:12:44
Xinqi Su 蘇昕琪,"Carrie Lam, in response, said ""we will be especially cautious"" and ""we respect the freedom of cultural and art expressions but the line should be clearly recognizable"". 

""All HK people must support and safeguard national security since we got the #NSL,"" Lam said.",2021-03-17 04:10:25
Xinqi Su 蘇昕琪,"Pro-BJ lawmaker Eunice Yung took on M+ Museum at #CarrieLam's LegCo QA session this morning, accusing the museum for showing art pieces that ""spread hatred against China"" and are ""suspected of violating #NSL"". Yung asked Lam if the government will censor the collection. https://t.co/SR1I0IYTwO",2021-03-17 04:08:43
Xinqi Su 蘇昕琪,"William Wong's name has been removed and replaced with ""Vacant"" on HK gov's directory. https://t.co/s5E7t9mNO3",2021-03-17 03:37:51
Xinqi Su 蘇昕琪,"...on behalf of the Association, demanding the public prosecution leader not to turn a blind eye to police lies as it would harm the prosecution system profoundly. 

In his P.S., Wong predicted ""what happened to Cathay will eventually happen to DOJ"". 

https://t.co/Eq7fFKPEmi",2021-03-17 03:31:33
Xinqi Su 蘇昕琪,"William Wong, leader of DOJ's Court Prosecutors Association, has been suspended from work according to Sing Tao Daily. 

Wong is accused of encouraging his colleagues to attend 6.4 candlelight vigil last year. Last September, Wong wrote to SJ...
https://t.co/Zh48WbatAn",2021-03-17 03:29:38
Xinqi Su 蘇昕琪,"...""turn directly into a Bills Committee when the SAR government tables amendments on local legislation"" for implementing Beijing's plan.",2021-03-17 03:14:24
Xinqi Su 蘇昕琪,"Super fast track for legal exercise to implement Beijing's plan to change HK's electoral system:

 #CarrieLam suggested LegCo to set up a special panel under House Committee to ""first discuss the NPC resolution and amendments later made by NPCSC"" and this panel can ... https://t.co/GyXXKTvW7r",2021-03-17 03:12:30
Xinqi Su 蘇昕琪,"“Just like #CarrieLam, when I read the criticism on Ta Kung Pao and Wen Wei Po every morning, I know Hong Kong still has free speech,” said Vincent Chui, veteran documentary filmmaker and distributor of “Inside The Red Brick Wall” #理大圍城 https://t.co/iugaHOotBD",2021-03-17 02:55:57
Xinqi Su 蘇昕琪,Raphael Wong of LSD burned their letter to Zhang Xiaoming after police confirmed that there won’t be any representative from Beijing to receive the letter. https://t.co/JgmsFZrcvR,2021-03-17 00:14:43
Xinqi Su 蘇昕琪,"What have HK ppl voted for ? 

LSD turned the 5 demands - 1) withdraw extradition bill 2) abandon the official definition of “riots” 3) release all political prisoners 4) independent inquiry into police brutality and 5) double universal suffrage now - into ballot cards. https://t.co/aGCnNJCSRN",2021-03-17 00:11:33
Xinqi Su 蘇昕琪,This is how far the protest group is allowed to go - several tens of meters across the road from HKCEC where the 3-day “consultations” entered the last day. https://t.co/3c3bo5EkF8,2021-03-17 00:00:16
Xinqi Su 蘇昕琪,Tai Chi goes on and one nanny said “Arrest all those bastards” https://t.co/bTzcAFDGVG,2021-03-16 23:54:00
Xinqi Su 蘇昕琪,“Zhang Xiaoming do you understand? Zhang Xiaoming do you know? Power belongs to the people!” LSD protesters chanted as they marched towards HKCEC where HKMAO deputy chief Zhang Xiaoming is meeting HK elites for a third day to “consult” them on election changes. https://t.co/R6OMFJdVBR,2021-03-16 23:48:54
Xinqi Su 蘇昕琪,"“Wouldn’t you be breaching the ban on group gathering?” LSD’s Avery Ng asked the police.

“We have exempt but you don’t,” an officer answered. https://t.co/DoF8p0vnIN",2021-03-16 23:40:15
Xinqi Su 蘇昕琪,The only protest HK has got since Beijing rolled out its plan to recast the city’s electoral system for “patriots rule” - 4 League of Social Democrats members with one loud hailer vs half dozen police vans with dozens of officers. https://t.co/ves5iNyRYE,2021-03-16 23:36:14
Xinqi Su 蘇昕琪,"""My first reaction [to the cancellation] was to look for other venues so we can organise a few more screenings for those who want to watch,"" Vincent Chui, who is in charge of distribution of the movie, told @AFP after the cancellation.

https://t.co/0DKCsYmBkI",2021-03-15 11:39:42
Xinqi Su 蘇昕琪,#BREAKING Hong Kong Film Critics Society announced last-min cancellation of two public screenings of the award-winning #2019protests documentary “Inside The Red Brick Wall” #理大圍城 in light of days of attack on both the film and the cinema from Beijing’s mouthpiece in HK. https://t.co/N3TaxWHbBf,2021-03-15 09:14:46
Xinqi Su 蘇昕琪,"The two employees arrived in HK in September last year and ""should be exempted persons"", said Dr Albert Au of CHP. ""But once they are confirmed infected, all staff in USCG must undergo tests,"" Au added. https://t.co/L39PagKMSW",2021-03-15 09:06:03
Xinqi Su 蘇昕琪,"Sorry to have missed out Shun Lee, who was the last one to be granted bail by High Court. https://t.co/lfcmnMBmcN",2021-03-15 08:01:24
Xinqi Su 蘇昕琪,"Including the 4, whose bail review was dropped by DOJ, namely Lawrence Lau, Clarisse Yeung, Mike Lam and Hendrick Lui, a total of 11 activists have been granted bail on conditions restricting their speech and their right to run in elections.

36 remain on remand.",2021-03-15 08:00:10
Xinqi Su 蘇昕琪,"The 4 whose bail was granted by Mag. So last week and revoked by High Court Justice Esther Toh this week are:

Ng Kin-wai
Jeremy Tam
Kwok Ka-ki 
Sam Cheung",2021-03-15 07:58:28
Xinqi Su 蘇昕琪,"The 7 who were released on bail conditions laid down by designated magistrate Victor So last week are: 

Helena Wong
Tat Cheng
Michael Pang
Ricky Or
Kalvin Ho 
Sze Tak-loy",2021-03-15 07:57:52
Xinqi Su 蘇昕琪,"#FINALLY HK's High Court has completed hearing 11 bail reviews launched by the Secretary for Justice against the ""35+"" activists who were charged of ""conspiracy to subversion"".

7 reviews were struck down and the defendants were released on bail.

4 succeeded.",2021-03-15 07:55:50
Xinqi Su 蘇昕琪,"Sum of bail review of 21 activists charged of ""conspiracy to subversion"" 
Rejected(pink):11
Withrawn(blue):10
Reserved right to apply again next Fri(yellow):9
Waived the right:12 https://t.co/moR6WbX5z5",2021-03-12 04:57:28
Xinqi Su 蘇昕琪,Last of the 21 applications today is completed. Designated magistrate Victor So rejected bail application from ex-lawmaker Claudia Mo. Mo waived her right to apply again in 8days.,2021-03-12 04:54:03
Xinqi Su 蘇昕琪,Ex-Civic Party lawmaker Alvin Yeung and Ex-Democratic Party lawmaker Lam Cheuk-ting both withdrew their application for bail review. Yeung waived his right to apply again in 8 days while Lam reserved his right.,2021-03-12 04:36:01
Xinqi Su 蘇昕琪,"Designated magistrate Victor So rejected ex-union leader Winnie Yu's application for bail. Yu waived her rights to apply again in 8 days. ""Sau zuk, hang in there! HKers add oil,"" Yu said before leaving.",2021-03-12 04:35:01
Xinqi Su 蘇昕琪,"Designated magistrate Victor So rejected localist Wong Pak-yu's application for bail. Wong reserved his rights to apply again in 8 days. ""Family, I love you. Friends, wait for me,"" Wong said before leaving.",2021-03-12 04:29:47
Xinqi Su 蘇昕琪,"Designated magistrate Victor So rejected Lester Shum @LesterShum 's application for bail. Shum reserved his rights to apply again in 8 days. ""The worse set of cards you have got, the harder you should try to play,"" Shum said before leaving.",2021-03-12 04:25:33
Xinqi Su 蘇昕琪,"Also @LesterShum said:""Stanley Prison has the Michelin starred kitchen among all prisons."" ""The chicken breast does taste like chicken.""
Gwyneth Ho chipped in:""Curry in Tai Lam tastes likWe masala"" ""The veggies are green when served"" ""Thanks to Wall-fare!""",2021-03-12 04:23:47
Xinqi Su 蘇昕琪,"Defendants dock became lively again as the 3rd batch of Ds were brought in and waiting for their bail review. 
@LesterShum: ""We've got enough ppl in prison. We need ppl outside."" 倉底夠人，出面要人 and ""Prison guards treat us well, totally unlike Hong Kong Police."" https://t.co/YS90B5EXsH",2021-03-12 04:21:46
Xinqi Su 蘇昕琪,Journalist-turned activist Gwyneth Ho withdrew her application for bail review but reserved her right to apply again in 8 days.,2021-03-12 04:13:08
Xinqi Su 蘇昕琪,"Designated magistrate Victor So rejected bai application from ex union leader Carol Ng. Ng reserved her right to apply again in 8days. 

Among the 2nd batch of 8 defendants, 6 withdrew their applications and waived their 8day right. 2 was rejected bail and reserved the right.",2021-03-12 03:44:10
Xinqi Su 蘇昕琪,Activist Owen Chow @owenchowkashing withdrew his application for bail review and waived his right to apply again in 8 days.,2021-03-12 03:39:03
Xinqi Su 蘇昕琪,"Ex-Democratic Party @HKDemocrats 
chief Wu Chi Wai , ex lawmaker Andrew Wan and ex lawmaker Eddie Chu @ChuHoiDick all withdrew their application for bail review and waived their rights to apply again in 8 days.",2021-03-12 03:38:11
Xinqi Su 蘇昕琪,Joshua Wong @joshuawongcf withdrew his application for bail review and waived his right to apply again in 8 days.,2021-03-12 03:36:04
Xinqi Su 蘇昕琪,Designated magistrate Victor So rejected bail application from Prince Wong @wongjiyuet . Wong will return on remand and she reserves her right to apply again in 8 days.,2021-03-12 03:35:08
Xinqi Su 蘇昕琪,Frankie Fung withdrew his application for bail review and waived his right to review again in 8 days.,2021-03-12 03:29:12
Xinqi Su 蘇昕琪,"Designated #NSL magistrate Victor So rejected bail review applied by Fergus Leung in person. 

So far this morning, among the 7 defendants, 5 got bail rejected, 1 withdrew and 1 pushed to afternoon. 3 reserved right to 8day review.",2021-03-12 02:59:47
Xinqi Su 蘇昕琪,Designated #NSL magistrate Victor So rejected bail review applied by Tiffany Yuen @tiffanyykw after Yuen’s tearful submission in person. So said Yuen can apply to CSD for a potential arrangement for her to attend the placement of her grandma’s ashes on Saturday.,2021-03-12 02:57:07
Xinqi Su 蘇昕琪,Magistrate Victor So stood Claudia Mo’s bail review down to this afternoon as So said Mo’s lawyer’s submission has not proven any change in Mo’s circumstances.,2021-03-12 02:54:17
Xinqi Su 蘇昕琪,Au Nok-hin withdrew his bail review application and waived his right to 8-day review.,2021-03-12 02:26:54
Xinqi Su 蘇昕琪,Designated #NSL magistrate Victor So rejected bail review applied by Gordon Ng. Ng will remain on remand and appear in court for his next bail review in 8 day (19 March) if nothing changes in between.,2021-03-12 02:24:37
Xinqi Su 蘇昕琪,#BREAKING Designated #NSL magistrate Victor So rejected bail review applied by Jimmy Sham @jimmyshamtszkit and LongHair Leung Kwok-hung. The pair will remain on remand and have decided to waive their 8-day bail review.,2021-03-12 02:17:48
Xinqi Su 蘇昕琪,"How does Beijing's electoral reform plan for HK work (according to the NPC decision) ?

** Yellow boxes are for new org/sector 

(Better than my courtroom sketch I guess) https://t.co/5KmDerS8r9",2021-03-11 09:26:56
Xinqi Su 蘇昕琪,"#CarrieLam on NPC passed resolution to recast HK's electoral system: resolutely support, heartfelt gratitude and totally agree https://t.co/z1zLBr2eF1",2021-03-11 07:49:19
Xinqi Su 蘇昕琪,"#JUSTIN 2,895 votes for and 0 vote against - NPC in Beijing passed resolution to recast HK's electoral system. https://t.co/m951M694vi",2021-03-11 07:17:15
Xinqi Su 蘇昕琪,#BREAKING High Court allowed SJ's bail review against Ng Kin-wai. So Ng's bail granted by magistrate Victor So is revoked.,2021-03-11 03:48:43
Xinqi Su 蘇昕琪,#BREAKING Helena Wong is granted bail on Magistrate Victor So's conditions by High Court. SJ's application for bail review is refused.,2021-03-11 02:21:19
Xinqi Su 蘇昕琪,2 of the 47 pro-democractic activists charged of “conspiracy to subversion” will be brought to High Court as SJ sought review over bail granted to them by a designated #NSL magistrate. This is part of the police cars near the court. https://t.co/B75dzssn0W,2021-03-10 23:31:23
Xinqi Su 蘇昕琪,"Over 100 HK civil servants did not sign the declaration of allegiance on time and they may be laid off, civil service chief Patrick Nip said. 

https://t.co/4eOE3y10zF",2021-03-08 09:15:54
Xinqi Su 蘇昕琪,"Carrie Lam: We are handling whether one is not patriotic, whether one...challenges the central authorities, colludes with foreign forces...We are not handling whether one candidate is democratic or not. Members of the pro-gov camp are democratic. They are also serving the ppl.",2021-03-08 04:50:40
Xinqi Su 蘇昕琪,"#KEYPOINTS 
* ""Logically"" election of Election Committee should come first ; can't tell if LegCo election will be delayed again
* Empowerment of Election Committee (to nominate and elect LegCo members) is ""not transitional"" 
* Not many ppl in HK gov knew the changes",2021-03-08 04:40:02
Xinqi Su 蘇昕琪,"#NOW HK's leader #CarrieLam opened her presser about ""implementing patriots administering HK"" by congratulating Intl Women's Day and presenting improvements of women rights her administration achieved including ""leader of the newly established NS police dept is a woman"". https://t.co/yq8GcyF6bY",2021-03-08 04:04:30
Xinqi Su 蘇昕琪,"Macau will hold its legislature general election on 12th of September, the city's leader announced.

The legislature has 33 seats (14 directly elected, 12 indirectly elected and 7 assigned by the CE). Currently 4 lawmakers are from the pro-democracy camp. https://t.co/dDidz92pqV",2021-03-08 01:58:36
Xinqi Su 蘇昕琪,"Social worker Hendrick Lui was the last one to leave today. 

""I hope everyone can get a fair and just ruling. I wish everyone safe."" https://t.co/eDFRSTgoIC",2021-03-05 12:11:16
Xinqi Su 蘇昕琪,"Mike Lam, founder of Abouthai, was the 3rd to leave.

""I am really tired. I miss my family so much."" https://t.co/B0JOXQzuFK",2021-03-05 12:02:22
Xinqi Su 蘇昕琪,"The 2nd one who came out was Wan Chai District Council member Clarisse Yeung. 

""I really want to go home now to meet my family and my cats. I wish everyone safe."" https://t.co/0U46HWiNHI",2021-03-05 12:00:21
Xinqi Su 蘇昕琪,"Barrister Lawrence Lau is 1st of the 4 activists who were granted bail today as the Department of Justice u-turned to drop its bail review application against them. 

""I got out by luck and there are dozens who are waiting. I wish them success,"" he said. https://t.co/TPw1tZ1eaU",2021-03-05 11:53:41
Xinqi Su 蘇昕琪,Rollercoaster https://t.co/nauUCnE9jk,2021-03-05 07:45:57
Xinqi Su 蘇昕琪,The 2nd ambulance left West Kowloon Magistrates Court https://t.co/NXVFxvKf18,2021-03-04 16:14:50
Xinqi Su 蘇昕琪,The fifth prison bus left West Kowloon Magistrates Court and two more ambulances arrived. https://t.co/LQ8yX92owW,2021-03-04 16:02:17
Xinqi Su 蘇昕琪,The 4th prison car left West Kowloon Magistrates Court and the 2nd returned. https://t.co/Fwc0uGZQqo,2021-03-04 15:02:17
Xinqi Su 蘇昕琪,Three more prison cars left West Kowloon Magistrates Court https://t.co/ST1Se9za7w,2021-03-04 14:25:35
Xinqi Su 蘇昕琪,An ambulance left West Kowloon Magistrates Court. Not sure who fell sick. https://t.co/vrjqg6vZJ7,2021-03-04 14:20:12
Xinqi Su 蘇昕琪,One prison truck has left West Kowloon Court. https://t.co/ahlg6yieIV,2021-03-04 14:08:27
Xinqi Su 蘇昕琪,No ordinary citizen is allowed to stay at the car exit of West Kowloon Magistrate’s Court to see the 47 activists charged of “conspiracy to subversion” off as police blocked the road and only allow reporters to pass in batches . https://t.co/8KSfHzsdFZ,2021-03-04 13:49:49
Xinqi Su 蘇昕琪,Police block the pedestrian road towards prison car exit outside the court and demand all ppl leaving to turn right only. https://t.co/MCPXTMS1TA,2021-03-04 13:43:15
Xinqi Su 蘇昕琪,"Nicole Yu (R2), wife of @LesterShum , said over 4 days of trial, family members were not allowed to attend the hearing in the main court. She was also not allowed to meet her husband https://t.co/ztAeJFgQIP",2021-03-04 13:40:24
Xinqi Su 蘇昕琪,"Magistrate Victor So said when the case returns for 2nd mention on 31 May prosecution must have studied appropriateness of charges and which court to have the formal trial, otherwise it must submit a written report of the past 3 months’ investigation.",2021-03-04 13:31:49
Xinqi Su 蘇昕琪,"#BREAKING China’s top lawmaking body NPC will be tabled the draft Bill of resolution to “improve HKSAR’s electoral system” - state TV 

https://t.co/OHiJqzpzxD",2021-03-04 13:21:03
Xinqi Su 蘇昕琪,"""Thanks everyone!"" ""Political prisoners are not guilty! HKers won't die!"" ""Five demands not one less!"" ""HKers won't die!"" ""Shame on political prosecution!"" the defendants waved hands and shouted as they left court.",2021-03-04 12:21:53
Xinqi Su 蘇昕琪,"the 15 who got bail but put back on remand: Tat Cheng, Clarisse Yeung, Peng Cheuk-kei, Ho Kai-ming, Lawrence Lau, Helena Wong, Jeremy Tam, Sze Loy-tak, Sam Cheung,Ng Kin-wai, Kwok Ka-ki, Lui Chi-hang,Mike Lam, Ngor Yiu-lam, Shun Lee",2021-03-04 12:21:26
Xinqi Su 蘇昕琪,"32 denied bail 
15 granted bail but returned on remand immediately due to SJ applied for bail review
the 15 will be brought to high court within 48 hours
25 of the 32 will return to court on 12 March for bail review
all defendants will return to court on 31 May for second mention",2021-03-04 12:17:59
Xinqi Su 蘇昕琪,#BREAKING THE 15 DEFENDANTS GRANTED BAIL ARE IMMEDIATELY RETURNED ON REMAND AS SECRETARY FOR JUSTICE APPLIED FOR BAIL REVIEW. THEY WILL BE BROUGHT TO HIGH COURT WITHIN 48 HOURS.,2021-03-04 12:11:57
Xinqi Su 蘇昕琪,SJ applied for appeal against the bail decision right after magistrate finished reading out bail conditions.,2021-03-04 12:08:40
Xinqi Su 蘇昕琪,#BREAKING 15 of the 47 defendants are granted bail,2021-03-04 11:58:09
Xinqi Su 蘇昕琪,"48 minutes overdue, court is about to resume.",2021-03-04 11:50:02
Xinqi Su 蘇昕琪,"Magistrate Victor So decided not to remove the reporting restrictions on bail hearings. 

So asked for 2 hours to consider the bail applications. Court will resume at 7pm.",2021-03-04 09:02:35
Xinqi Su 蘇昕琪,"#NOW Court is about to hand down decision on bail applications from 47 activists charged of “conspiracy to subversion” after 4 days of marathon hearing.

Just now @KwaiLamHo and @LesterShum made hearts with their arms. Ho also hugged @loktinau and Helena Wong.",2021-03-04 08:34:21
Xinqi Su 蘇昕琪,"Marathon bail hearing of the 47 entered the 4th day due to unexpected twists in court last evening after all defense counsels completed submissions.

#NOW queue of public members is again growing around the court house, in chilling wind and drizzle. https://t.co/wjcFhmjgvC",2021-03-03 23:47:55
Xinqi Su 蘇昕琪,"#LAETST No result tonight. 

A total of 7 defendants terminated their lawyers’ representation.

12 have said they have additional submissions to make. 

Court will resume at 10am on Thursday. https://t.co/z8itBfKrd6",2021-03-03 12:31:02
Xinqi Su 蘇昕琪,"Last of the 47 defendants’ lawyer just began to make submission for bail application. 

Final decisions on bail and application for exempt of reporting restrictions will be handed down after dinner break.",2021-03-03 09:56:31
Xinqi Su 蘇昕琪,#FINALLY Last 3 of the 47 activists charged of “conspiracy to subversion” just began to make submissions for bail application in West Kowloon Magistrates Court.,2021-03-03 08:35:03
Xinqi Su 蘇昕琪,"HK national security police arrested a 61yo man today over suspicion of “defraud” in relation to #JimmyLai’s case via Oriental Daily 

https://t.co/2gCei3U6xn",2021-03-02 14:36:38
Xinqi Su 蘇昕琪,Liu Tsz-man got one additional charge of absconding today. He was previously charged of conspiracy to arson and possession of objects with intent to damage properties.,2021-03-02 08:00:59
Xinqi Su 蘇昕琪,"...date was notified. 

D1 of the case, Tang Kai-yin, who is also one of the #12HKers and has got a longer jail term in Shenzhen than Cheng, won’t return to HK any time soon, prosecutor said.",2021-03-02 07:59:27
Xinqi Su 蘇昕琪,"Liu Tsz-man, one of the two teenagers among the #12HKers, postponed to take plea on 30 March so his legal aid lawyer can take instructions from him. 

Prosecutor said D3 in his case Cheng Tsz-ho, one of the 12 HKers jailed in Shenzhen, will return to HK “soon” but no specific..",2021-03-02 07:58:13
Xinqi Su 蘇昕琪,Note: Ma is charged of “incitement to secession” under #NSL for chanting slogans. https://t.co/Uf7bEulGGC,2021-03-02 07:56:30
Xinqi Su 蘇昕琪,Ma’s lawyer Paul Harris did not provide substantial info to prove there is actual change of circumstances in light of a heated exchange in court when Harris was repeatedly interrupted during his submission.,2021-03-02 07:55:42
Xinqi Su 蘇昕琪,"“Comrades, watch out! Do not stay outside till too late at night. Cure Hong Kong, fight the pandemic of our times!” 

Tho High Court designated judge Alex Lee ruled that he can apply for bail if trial date is unlikely to be set by mid-April, Chan said...",2021-03-02 07:54:37
Xinqi Su 蘇昕琪,"“Captain America No 2” Ma Chun-man will postpone to take plea on 26 March as more time is needed to proceed his legal aid application. Bail application was denied by designated judge Stanley Chan in District Court.

Before he was bundled away from defendants dock, Ma chanted:",2021-03-02 07:53:15
Xinqi Su 蘇昕琪,HKU refused to renew contract with the city’s best hepatologist Lai Ching Lung despite recommendations from the university’s medical school where Lai has served over half century via ⁦@appledaily_hk⁩  https://t.co/mwJg18YYM3,2021-03-02 06:13:01
Xinqi Su 蘇昕琪,"Ystd, the mic-check chatters by the defendants delivered quite some encouraging sentiments to the public. 

What more is going to play out in court today when 27 defendants are to make their submissions, folo my @AFP colleague @ayanchiu in WKL.",2021-03-02 03:11:00
Xinqi Su 蘇昕琪,"A number of the 47 defendants’ counsels have other cases to attend today and in the rest of the week. 

The mass arrest and prosecution have apparently posed grave challenges to the physical and mental strength of the accused, legal services accessibility and judiciary logistics.",2021-03-02 03:04:34
Xinqi Su 蘇昕琪,Meanwhile law professor Benny Tai has been taken to the Court of Appeal for his appeal against the Occupy Movement trial. He is expected to be brought back to West Kowloon Magistrates Court in the afternoon as his lawyer already completed submission for him ystd.,2021-03-02 03:01:03
Xinqi Su 蘇昕琪,"The record breaking marathon bail hearing of 47 HK democracy activists is set to resume at 11:30am, leaving the defendants who arrived in detention centres between 5am to 6:30am barely any time to have some proper rest.

4 have fallen sick during and after ystd’s 12hr hearing.",2021-03-02 02:59:40
Xinqi Su 蘇昕琪,Last two CSD buses left West Kowloon Magistrates Court. https://t.co/jroOANTIWi,2021-03-01 20:54:13
Xinqi Su 蘇昕琪,"4 of the 47 defendants Clarisse Yeung, Mike Lam, Roy Tam and LongHair Leung Kwok-hung have been rushed to hospital for feeling sick during or after the 12-hour marathon mention.",2021-03-01 20:35:13
Xinqi Su 蘇昕琪,"Two more CSD trucks left West Kowloon Magistrates Court, making it a total of three so far. 

Also a total of three ambulances have left the court. https://t.co/aP4Mv0w29v",2021-03-01 20:22:24
Xinqi Su 蘇昕琪,One CSD truck and two ambulances have left West Kowloon Magistrates Court. https://t.co/8YmGV0snWt,2021-03-01 19:43:19
Xinqi Su 蘇昕琪,Two ambulances entered West Kowloon Magistrates Court after the marathon mention of the 47 activists was adjourned. It’s not immediately clear who are in need of the medical help. https://t.co/w9HHdZauoF,2021-03-01 19:22:25
Xinqi Su 蘇昕琪,"Eventually Magistrate Victor So decided to adjourn the mention to 11:30am on Tuesday.

45 defendants will be kept under CSD custody overnight. 

Andy Tsui and Clarisse Yeung will be under police custody in hospitals. 

27 submissions to go tmr.",2021-03-01 18:46:34
Xinqi Su 蘇昕琪,Due to this emergency court decided to adjourn the proceeding to 11am on Tuesday. https://t.co/2MUDk0KmZj,2021-03-01 18:18:27
Xinqi Su 蘇昕琪,"#BREAKING At around 1.45am, over 10 hours since court resumed at 3.30pm on Monday, one of the 47 defendants Clarisse Yeung appeared to have fainted and collapsed. Court is adjourned now.",2021-03-01 17:51:43
Xinqi Su 蘇昕琪,"It’s almost midnight in HK. Benny Tai’s lawyer Cheung Yiu-Leung just finished submission for application of bail. 

He was the 11th of 47 defendants who have done submission.

36 to go. Night is long.",2021-03-01 15:56:27
Xinqi Su 蘇昕琪,"It’s almost 10:30pm in HK. Only 6 of the 47 defendants have had their lawyers completed submissions for bail application.

Magistrate Victor So is determined to complete the mention today as schedules for so many defendants and lawyers are hard to coordinate.",2021-03-01 14:25:25
Xinqi Su 蘇昕琪,"...Gwyneth: be a fighter all my life, that's the meaning of my life 一世的戰士 一世的意義
（lyrics from Anson Lo's song 一所懸命）",2021-03-01 08:09:26
